input1,input2,true_output,fortran_pred,fortran_uncertainty,tensorflow_pred
  0.644938,  0.644938,537.023285,537.242622,  0.001608,537.242989
  0.375202,  0.375202,390.928028,391.589898,  0.001130,391.596951
 -1.361091, -1.361091,423.178399,422.476772,  0.001235,422.487329
 -0.602503, -0.602503,379.858007,379.505238,  0.002086,379.511391
 -0.203100, -0.203100,522.743790,520.803378,  0.002450,520.797962
 -0.158029, -0.158029,514.033136,514.649151,  0.002381,514.656620
  0.940329,  0.940329,624.096017,623.295114,  0.001064,623.315264
  1.705852,  1.705852,578.373186,571.677064,  0.010863,571.636348
 -1.071247, -1.071247,315.989930,315.316865,  0.001610,315.324914
  0.955584,  0.955584,622.379844,622.385809,  0.001066,622.385249
 -1.153069, -1.153069,352.238521,351.537889,  0.001720,351.545457
 -1.567034, -1.567034,389.778458,387.469542,  0.005108,387.472144
  1.664941,  1.664941,553.553815,552.573719,  0.009247,552.572883
 -0.315432, -0.315432,520.421110,518.708212,  0.002448,518.721867
  0.475053,  0.475053,434.090414,434.286004,  0.001213,434.286718
  0.009776,  0.009776,448.957630,448.580668,  0.001663,448.586895
  1.392431,  1.392431,475.073607,476.162673,  0.001833,476.135927
  0.069409,  0.069409,422.210043,422.757325,  0.001545,422.753342
 -0.345249, -0.345249,513.659877,512.944842,  0.002379,512.959156
 -0.922858, -0.922858,275.448376,275.091890,  0.000917,275.099620
 -1.111465, -1.111465,333.376237,333.119827,  0.001658,333.122386
 -0.112264, -0.112264,500.158182,501.431664,  0.002244,501.419830
  1.464546,  1.464546,476.277424,476.751343,  0.001941,476.745530
  0.916060,  0.916060,625.899353,624.738199,  0.001032,624.730483
 -0.940886, -0.940886,277.816583,277.322640,  0.000827,277.321363
 -0.004092, -0.004092,455.408451,454.590064,  0.001723,454.583164
  1.571331,  1.571331,505.661077,508.856780,  0.006302,508.797933
 -1.200221, -1.200221,373.490431,372.409449,  0.001867,372.417967
 -1.007453, -1.007453,292.794839,292.802546,  0.001223,292.803004
  0.312795,  0.312795,376.814937,375.783774,  0.001124,375.780775
  1.384804,  1.384804,475.749209,476.099997,  0.001821,476.101239
 -1.270255, -1.270255,401.097099,400.334461,  0.001492,400.350120
  1.740522,  1.740522,600.003327,587.863693,  0.012241,587.705097
 -0.802898, -0.802898,284.375504,285.029880,  0.001333,285.031126
 -1.714730, -1.714730,307.030143,308.643915,  0.006990,308.648451
  0.875149,  0.875149,625.224325,624.713760,  0.001121,624.713982
 -0.442326, -0.442326,475.179931,474.535442,  0.002054,474.528957
  0.187288,  0.187288,382.711878,382.299919,  0.000955,382.293687
 -1.718197, -1.718197,304.905869,306.792154,  0.007022,306.881545
 -1.435980, -1.435980,424.902035,425.633074,  0.002263,425.643134
  1.279406,  1.279406,500.878673,502.606145,  0.002425,502.600440
 -1.357624, -1.357624,422.589664,422.198787,  0.001233,422.225762
 -1.467183, -1.467183,421.058233,419.092818,  0.002303,419.104682
  0.769751,  0.769751,600.491098,600.209200,  0.001548,600.204269
  1.592133,  1.592133,514.893569,518.570654,  0.006892,518.530934
  1.494362,  1.494362,481.333210,476.995541,  0.001951,477.003486
  0.761430,  0.761430,597.109453,597.183806,  0.001547,597.190625
 -1.044204, -1.044204,305.395228,304.978204,  0.001256,304.971862
  0.273964,  0.273964,373.749851,374.495580,  0.000726,374.505668
  0.730227,  0.730227,583.535778,583.543042,  0.001537,583.525973
  1.283566,  1.283566,499.458818,501.162612,  0.002443,501.171455
  1.453451,  1.453451,475.335494,476.659162,  0.001922,476.663129
  1.216306,  1.216306,526.052133,528.055883,  0.002360,528.062438
 -0.007559, -0.007559,456.710261,456.089928,  0.001720,456.077388
 -1.502547, -1.502547,413.102694,411.674615,  0.002383,411.683836
 -0.608050, -0.608050,376.313082,376.076961,  0.002106,376.070995
  0.398084,  0.398084,398.782440,398.034258,  0.001179,398.027476
 -1.058072, -1.058072,310.725842,309.575938,  0.001290,309.607043
 -0.640641, -0.640641,356.568293,356.347661,  0.001637,356.367112
  0.598479,  0.598479,508.429095,508.666743,  0.001476,508.661685
  0.267030,  0.267030,373.708991,374.488987,  0.000724,374.499809
 -1.497693, -1.497693,414.297862,412.691705,  0.002374,412.675488
 -1.451928, -1.451928,423.378586,422.290221,  0.002294,422.294462
  0.335678,  0.335678,380.533355,381.579589,  0.001122,381.574420
  0.925074,  0.925074,625.663116,624.202012,  0.001040,624.199842
  1.678809,  1.678809,561.667569,559.050868,  0.009800,558.975771
  1.575491,  1.575491,507.636765,510.790588,  0.006382,510.788014
  1.716946,  1.716946,585.060549,576.849949,  0.011346,576.757024
 -0.759213, -0.759213,298.080787,298.712272,  0.001877,298.705880
 -0.266894, -0.266894,525.980764,528.080857,  0.002563,528.084594
  1.226707,  1.226707,521.571494,523.738613,  0.002401,523.733090
 -0.402108, -0.402108,493.862996,492.603354,  0.002222,492.619121
 -1.162083, -1.162083,356.305423,355.526203,  0.001747,355.534625
 -0.373679, -0.373679,504.674045,505.377650,  0.002328,505.374324
 -1.639841, -1.639841,352.342361,348.610775,  0.005672,348.593764
  0.593626,  0.593626,505.469122,505.677900,  0.001478,505.673923
  1.397979,  1.397979,474.809622,476.208745,  0.001830,476.188412
 -1.202301, -1.202301,374.424800,373.332036,  0.001868,373.347549
 -1.309086, -1.309086,412.861042,412.295175,  0.001595,412.303365
  1.511004,  1.511004,485.278390,480.686785,  0.005422,480.679857
 -1.483825, -1.483825,417.616629,415.599253,  0.002329,415.613718
  0.422354,  0.422354,408.580581,409.464477,  0.001181,409.468310
 -1.454008, -1.454008,423.128640,421.856082,  0.002295,421.852915
 -1.578128, -1.578128,384.948169,381.545525,  0.005139,381.584017
  1.535273,  1.535273,492.323489,492.014156,  0.005642,492.017707
  0.592932,  0.592932,504.971647,505.255343,  0.001470,505.248914
  0.863361,  0.863361,623.766950,624.198865,  0.001106,624.199513
  1.553996,  1.553996,498.937253,500.761125,  0.005961,500.746688
 -0.096315, -0.096315,494.493083,494.523534,  0.002146,494.529936
 -1.006760, -1.006760,292.745709,292.572837,  0.001230,292.573860
  0.117948,  0.117948,402.866498,402.641106,  0.001261,402.643835
 -0.558125, -0.558125,407.793019,406.935285,  0.002005,406.929547
  1.163607,  1.163607,549.475084,549.941344,  0.002255,549.944284
  0.315569,  0.315569,377.250114,376.487509,  0.001130,376.480571
 -0.784869, -0.784869,289.639940,289.510050,  0.001731,289.509303
 -0.924244, -0.924244,275.601936,275.163462,  0.000916,275.171747
 -0.767534, -0.767534,295.005625,295.550565,  0.001924,295.562518
 -0.199633, -0.199633,522.204121,520.329291,  0.002436,520.324441
 -0.804978, -0.804978,283.968530,284.566604,  0.001329,284.576337
  0.100612,  0.100612,409.547348,409.245143,  0.001534,409.247243
 -0.423604, -0.423604,484.239352,482.947608,  0.002131,482.962124
  1.468013,  1.468013,476.922577,476.777919,  0.001925,476.758855
 -0.721076, -0.721076,313.942507,313.197274,  0.001690,313.197593
 -1.425578, -1.425578,425.668697,427.632931,  0.001433,427.592901
  0.647711,  0.647711,538.690518,538.948781,  0.001630,538.940977
 -0.709981, -0.709981,319.112783,318.498160,  0.001856,318.494928
  1.282180,  1.282180,499.924946,501.648697,  0.002411,501.642817
 -0.124745, -0.124745,504.401473,506.839808,  0.002288,506.846869
 -1.429739, -1.429739,425.542045,426.943253,  0.002237,426.934406
 -1.325034, -1.325034,416.886058,417.209876,  0.001642,417.217383
  0.218492,  0.218492,377.117089,377.330344,  0.000968,377.338787
 -0.042923, -0.042923,472.589977,471.404220,  0.001882,471.368989
 -1.024789, -1.024789,298.474619,298.546651,  0.001231,298.558117
  0.225426,  0.225426,375.984620,376.223874,  0.000973,376.218024
  1.227400,  1.227400,521.160740,523.449015,  0.002384,523.470601
  1.158753,  1.158753,552.007698,551.955092,  0.002276,551.965045
  0.439689,  0.439689,416.506670,417.630711,  0.001191,417.631375
 -0.232917, -0.232917,525.710072,524.871462,  0.002518,524.900875
  1.240575,  1.240575,515.722477,517.978897,  0.002410,517.984082
  1.706545,  1.706545,578.672279,572.003344,  0.010841,571.993198
  0.368961,  0.368961,389.143374,390.011525,  0.001121,390.006728
 -1.064313, -1.064313,313.161369,312.246494,  0.001596,312.251682
 -1.245292, -1.245292,392.188343,392.363437,  0.002001,392.383697
 -0.433312, -0.433312,479.608596,478.585338,  0.002097,478.571021
  0.045833,  0.045833,432.537684,432.968215,  0.001581,432.979529
  0.567969,  0.567969,489.249040,489.897977,  0.001406,489.884269
 -0.839649, -0.839649,277.214693,276.844883,  0.001424,276.837756
 -1.683526, -1.683526,326.452481,325.285240,  0.006410,325.349649
 -0.157335, -0.157335,513.696011,514.557374,  0.002371,514.554494
 -0.985958, -0.985958,286.775221,286.120580,  0.000855,286.123220
 -1.527509, -1.527509,405.157614,406.436627,  0.002446,406.441609
  0.930622,  0.930622,625.101979,623.871325,  0.001052,623.881474
  0.877923,  0.877923,625.150465,624.834810,  0.001124,624.822037
 -1.243212, -1.243212,391.285223,391.441047,  0.001986,391.445010
 -0.138613, -0.138613,508.986550,512.000729,  0.002340,512.002931
 -0.778629, -0.778629,291.524420,291.591619,  0.001708,291.599789
 -0.051244, -0.051244,476.362858,475.008490,  0.001903,475.007332
 -0.397948, -0.397948,495.509624,494.476389,  0.002230,494.458011
 -1.185659, -1.185659,366.981888,365.964428,  0.001816,365.972186
 -0.539403, -0.539403,419.534435,418.508249,  0.002008,418.513509
  0.269111,  0.269111,373.634811,374.491239,  0.000729,374.493461
  1.734282,  1.734282,596.022723,584.959996,  0.011976,584.930917
 -0.205874, -0.205874,523.170329,521.177384,  0.002448,521.218554
  0.020871,  0.020871,443.860805,443.779141,  0.001609,443.779939
  0.454251,  0.454251,423.532389,424.486935,  0.001206,424.489420
  0.095065,  0.095065,411.589070,411.647453,  0.001550,411.649479
 -1.152376, -1.152376,351.940409,351.230788,  0.001736,351.236019
 -0.927712, -0.927712,275.983230,275.341532,  0.000907,275.338473
  1.323091,  1.323091,487.396389,487.499304,  0.002531,487.503247
 -0.038069, -0.038069,470.491809,469.298829,  0.001850,469.311913
  0.909820,  0.909820,626.012153,625.109487,  0.001028,625.094987
 -1.209929, -1.209929,377.651027,376.705485,  0.001890,376.696464
  0.004922,  0.004922,451.130724,450.683332,  0.001700,450.681780
  1.291194,  1.291194,496.887507,498.530000,  0.002473,498.519542
  1.599760,  1.599760,518.605555,522.134508,  0.007067,522.108253
  1.701691,  1.701691,575.715444,569.740082,  0.010763,569.733530
 -0.279375, -0.279375,525.135655,525.669167,  0.002532,525.675772
  1.556769,  1.556769,500.211480,502.058824,  0.005992,502.101316
  0.886937,  0.886937,625.903662,625.226905,  0.001148,625.218819
  1.685050,  1.685050,565.505605,561.965379,  0.010039,561.982842
  1.725267,  1.725267,590.467366,580.748494,  0.011659,580.669579
  1.508924,  1.508924,484.692642,479.716313,  0.005354,479.706918
 -0.219049, -0.219049,524.558224,522.978173,  0.002497,522.973758
 -0.043616, -0.043616,473.032788,471.704868,  0.001857,471.719761
  0.619975,  0.619975,521.998397,521.886546,  0.001547,521.878676
  1.424328,  1.424328,473.526077,476.425067,  0.001853,476.435349
 -0.812606, -0.812606,282.307632,282.869452,  0.001345,282.862828
 -0.069272, -0.069272,483.730484,482.815533,  0.001997,482.798120
  1.333492,  1.333492,484.570154,483.899719,  0.002557,483.908882
  1.374403,  1.374403,477.096005,476.016299,  0.001797,476.016967
  1.495749,  1.495749,481.777785,477.006178,  0.001959,476.990234
 -0.954061, -0.954061,279.695891,279.894529,  0.000836,279.898029
 -0.964462, -0.964462,282.006072,281.924756,  0.000841,281.927487
  0.599866,  0.599866,509.491281,509.516954,  0.001472,509.515270
  0.374509,  0.374509,390.711383,391.415868,  0.001132,391.410202
  0.504869,  0.504869,450.651477,451.086014,  0.001300,451.082428
  1.104667,  1.104667,576.056963,574.418192,  0.002197,574.415232
  0.655339,  0.655339,543.302584,543.635775,  0.001620,543.632650
  0.219879,  0.219879,376.838616,377.109368,  0.000982,377.113489
 -0.174671, -0.174671,517.896503,516.922462,  0.002405,516.926015
 -0.521374, -0.521374,430.640366,429.649880,  0.001990,429.654146
 -1.558713, -1.558713,393.385326,391.906151,  0.005075,391.921467
 -0.196166, -0.196166,521.905967,519.852275,  0.002433,519.879546
  0.800954,  0.800954,610.905281,610.493258,  0.001386,610.502736
 -0.623305, -0.623305,367.026616,366.776613,  0.001989,366.784145
 -0.825781, -0.825781,279.368942,279.932892,  0.001382,279.941201
 -0.458968, -0.458968,466.703443,467.058906,  0.002009,467.059660
 -0.852823, -0.852823,275.670412,275.084854,  0.001013,275.084325
  1.468706,  1.468706,477.081326,476.786620,  0.001919,476.761006
  1.608775,  1.608775,522.910217,526.341522,  0.007326,526.355335
 -0.581008, -0.581008,393.331932,392.790658,  0.002064,392.793130
 -1.576741, -1.576741,385.480606,382.283896,  0.005130,382.286749
 -0.463128, -0.463128,464.519144,465.191975,  0.002002,465.173443
  0.326663,  0.326663,378.853065,379.296496,  0.001126,379.299312
  0.480600,  0.480600,437.218279,436.897986,  0.001222,436.898601
 -0.618452, -0.618452,370.114154,369.679773,  0.001961,369.718898
  0.680995,  0.680995,558.205433,558.243224,  0.001646,558.247755
 -0.789030, -0.789030,288.280609,288.157863,  0.001499,288.194017
  0.006309,  0.006309,450.446060,450.083423,  0.001673,450.093269
  0.513884,  0.513884,456.135313,456.630768,  0.001301,456.626875
  1.497136,  1.497136,481.913850,477.017294,  0.001970,477.030353
  0.271884,  0.271884,373.648183,374.493637,  0.000730,374.499650
  1.504764,  1.504764,483.669594,477.784351,  0.005070,477.836902
 -0.793884, -0.793884,286.935471,287.036572,  0.001297,287.041633
 -0.854904, -0.854904,275.438622,275.023144,  0.001014,275.035730
 -0.818153, -0.818153,281.250527,281.632085,  0.001376,281.636800
  1.161527,  1.161527,550.709491,550.803691,  0.002275,550.779629
 -1.211315, -1.211315,378.299859,377.319797,  0.001876,377.342969
  1.276632,  1.276632,501.802104,503.563945,  0.002426,503.560714
 -0.845196, -0.845196,276.677355,275.611337,  0.001446,275.609123
  1.334185,  1.334185,484.448124,483.660666,  0.002531,483.686408
 -0.774468, -0.774468,293.010518,292.988455,  0.001717,293.010030
 -0.885414, -0.885414,273.766018,274.096225,  0.001096,274.090031
  0.866828,  0.866828,624.355619,624.349700,  0.001108,624.351620
 -0.226676, -0.226676,525.409637,524.019836,  0.002510,524.007317
  0.111707,  0.111707,405.271059,404.583165,  0.001251,404.603017
  1.666328,  1.666328,554.495915,553.225855,  0.009319,553.177035
  0.129042,  0.129042,398.959651,399.190668,  0.001248,399.184982
 -0.785563, -0.785563,289.193472,289.279992,  0.001731,289.292971
  0.797487,  0.797487,609.871140,609.505949,  0.001382,609.495465
 -1.170404, -1.170404,360.225985,359.210423,  0.001772,359.222584
  1.125469,  1.125469,566.993508,565.778469,  0.002216,565.776254
 -1.008840, -1.008840,293.292967,293.261429,  0.001218,293.270551
  0.026418,  0.026418,441.393471,441.375995,  0.001616,441.377453
 -0.908990, -0.908990,274.460819,274.379027,  0.000888,274.359801
 -0.006866, -0.006866,456.616893,455.789081,  0.001726,455.787717
 -0.724543, -0.724543,312.208727,311.883034,  0.001705,311.878165
  0.021564,  0.021564,443.573296,443.477374,  0.001635,443.481629
 -0.371598, -0.371598,505.580861,506.311956,  0.002351,506.299778
 -0.961689, -0.961689,281.255590,281.382652,  0.000841,281.389222
  1.341813,  1.341813,482.777212,481.025492,  0.002532,481.025370
  0.147764,  0.147764,392.975324,393.367830,  0.001252,393.367563
 -0.338315, -0.338315,515.513179,514.286848,  0.002436,514.298039
  0.149844,  0.149844,392.279365,392.721604,  0.001244,392.717113
 -1.656483, -1.656483,342.849788,339.729555,  0.005945,339.758342
  0.159552,  0.159552,389.547864,389.703619,  0.001252,389.699580
  0.208784,  0.208784,378.544427,378.876419,  0.000973,378.878185
  0.818983,  0.818983,615.832487,615.625665,  0.001439,615.627427
  1.273859,  1.273859,502.903750,504.524722,  0.002426,504.514884
 -1.423498, -1.423498,425.838004,427.481305,  0.001343,427.499501
 -0.503346, -0.503346,441.489933,440.791350,  0.002042,440.777009
  0.766977,  0.766977,599.196178,599.201082,  0.001556,599.180602
  0.866135,  0.866135,624.344313,624.319906,  0.001116,624.331093
 -0.456888, -0.456888,467.817080,467.993922,  0.002017,468.007312
  0.224039,  0.224039,376.215135,376.447462,  0.000976,376.447940
 -0.931872, -0.931872,276.456441,275.587773,  0.000815,275.619451
  0.645631,  0.645631,537.601256,537.667133,  0.001614,537.661786
  0.490308,  0.490308,442.426737,442.128034,  0.001279,442.129897
 -1.383281, -1.383281,425.414030,424.257222,  0.001277,424.269945
  0.222652,  0.222652,376.643411,376.666749,  0.000982,376.672365
 -0.522068, -0.522068,430.151895,429.222733,  0.002024,429.210407
  1.316850,  1.316850,489.092009,489.655769,  0.002511,489.641828
  1.144885,  1.144885,558.267497,557.714451,  0.002253,557.713120
  1.253056,  1.253056,510.700143,512.792625,  0.002426,512.791411
  0.402938,  0.402938,400.752707,400.319983,  0.001170,400.316346
  1.267618,  1.267618,505.124800,506.761125,  0.002419,506.781919
  1.563010,  1.563010,502.379668,504.973022,  0.006092,504.953046
 -1.641228, -1.641228,351.649883,347.862801,  0.005811,347.892565
  0.924381,  0.924381,625.489747,624.243068,  0.001041,624.230624
 -0.277988, -0.277988,525.300808,525.937285,  0.002544,525.960887
 -1.496306, -1.496306,414.729491,412.980047,  0.002343,412.996621
 -1.304925, -1.304925,411.542822,411.016563,  0.001586,411.004804
 -0.769615, -0.769615,294.401949,294.760872,  0.001925,294.764234
 -1.394375, -1.394375,426.061196,425.144295,  0.001297,425.153079
  0.640777,  0.640777,534.711794,534.682283,  0.001605,534.681361
 -0.083834, -0.083834,489.523374,489.117903,  0.002056,489.124607
  1.074851,  1.074851,588.487091,586.797960,  0.002162,586.811595
 -0.271054, -0.271054,525.622870,527.276108,  0.002567,527.260499
 -0.151095, -0.151095,512.158332,513.704678,  0.002354,513.689532
  0.842559,  0.842559,620.886240,622.337749,  0.001467,622.334354
 -1.268175, -1.268175,400.297307,399.694568,  0.001496,399.723081
  0.174807,  0.174807,385.509072,384.960706,  0.001254,384.956202
 -0.864611, -0.864611,274.637339,274.727593,  0.001033,274.733862
  0.401552,  0.401552,399.987983,399.667520,  0.001169,399.663878
  1.413234,  1.413234,473.894492,476.330728,  0.001841,476.321333
 -0.818846, -0.818846,280.963569,281.478279,  0.001368,281.483252
  0.036126,  0.036126,436.734046,437.172536,  0.001600,437.167008
  0.763510,  0.763510,597.891426,597.941467,  0.001534,597.930196
 -0.875706, -0.875706,273.975070,274.390465,  0.001069,274.391371
  0.436222,  0.436222,414.630280,415.996361,  0.001187,416.000607
  0.787086,  0.787086,606.631105,606.499697,  0.001509,606.464876
 -0.063032, -0.063032,481.201866,480.112509,  0.001941,480.110423
 -0.890961, -0.890961,273.803952,273.928536,  0.001106,273.928211
 -0.646881, -0.646881,353.068411,352.942105,  0.001639,352.943404
 -1.540684, -1.540684,400.723398,401.536932,  0.005047,401.558961
 -1.322954, -1.322954,416.230488,416.569768,  0.001636,416.566039
 -0.541483, -0.541483,418.270157,417.221777,  0.001995,417.220378
 -0.847276, -0.847276,276.364850,275.258389,  0.001040,275.276888
  1.505457,  1.505457,484.069941,478.095075,  0.005323,478.115950
  0.086744,  0.086744,414.897117,415.249924,  0.001518,415.244129
 -0.471449, -0.471449,459.790013,460.508486,  0.002076,460.513204
 -0.251639, -0.251639,526.301313,527.427009,  0.002551,527.422652
 -0.886800, -0.886800,273.881483,274.053714,  0.001095,274.057897
 -1.717503, -1.717503,305.338731,307.161573,  0.007028,307.169564
 -1.365252, -1.365252,423.774631,422.809104,  0.001249,422.800412
 -1.159310, -1.159310,355.025752,354.299185,  0.001759,354.303539
 -1.442220, -1.442220,424.547910,424.328456,  0.002266,424.322841
 -0.558819, -0.558819,407.292378,406.505334,  0.002019,406.502438
  0.319036,  0.319036,377.692431,377.366398,  0.001146,377.366487
  0.978467,  0.978467,618.389427,621.021919,  0.001094,621.030846
 -0.037376, -0.037376,470.110673,469.003492,  0.001858,469.008574
  1.017991,  1.017991,608.289152,610.411406,  0.002112,610.385651
  1.671875,  1.671875,557.658041,555.821556,  0.009517,555.817408
  1.605308,  1.605308,521.272745,524.724119,  0.007313,524.677690
 -0.504733, -0.504733,440.581946,439.935057,  0.002021,439.939123
  0.909126,  0.909126,626.312892,625.151545,  0.001033,625.142846
  0.676141,  0.676141,555.375137,555.491768,  0.001640,555.491879
 -1.290364, -1.290364,407.520745,406.528407,  0.001547,406.548369
 -0.725236, -0.725236,312.111753,311.615659,  0.001691,311.603423
  1.483961,  1.483961,479.228508,476.910292,  0.001976,476.904223
 -0.225983, -0.225983,525.487607,523.925181,  0.002476,523.913216
 -1.042817, -1.042817,304.998916,304.519196,  0.001254,304.526177
 -1.184272, -1.184272,366.388540,365.349192,  0.001830,365.357736
 -1.263321, -1.263321,398.849163,398.198627,  0.001499,398.214110
 -0.406962, -0.406962,491.571073,490.420963,  0.002198,490.412961
 -0.135840, -0.135840,507.899963,511.615571,  0.002336,511.588939
